S. No;Quotation;Author;;;;;;;;;;;;;;;;;;
102;Out of love for mankind, and out of despair at my embarrassing situation, seeing that I had accomplished nothing and was unable to make anything easier than it had already been made, and moved by a genuine interest in those who make everything easy, I conceived it as my task to create difficulties everywhere.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
103;The daily press is the evil principle of the modern world, and time will only serve to disclose this fact with greater and greater clearness. The capacity of the newspaper for degeneration is sophistically without limit, since it can always sink lower and lower in its choice of readers. At last it will stir up all those dregs of humanity which no state or government can control.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
104;People understand me so little that they do not even understand when I complain of being misunderstood.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
105;What is youth? A dream. What is love? The dream's content.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
106;It is a frightful satire and an epigram on the modern age that the only use it knows for solitude is to make it a punishment, a jail sentence.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
107;.....love yourself.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
108;To be lost in spiritlessness is the most terrible thing of all.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
109;Of all ridiculous things the most ridiculous seems to me, to be busy — to be a man who is brisk about his food and his work. Therefore, whenever I see a fly settling, in the decisive moment, on the nose of such a person of affairs;;;;;;;;;;;;;;;;;;;
110;Let other complain that the age is wicked;;;;;;;;;;;;;;;;;;;
111;For he who loves God without faith reflects on himself, while the person who loves God in faith reflects on God.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
112;Whether you are man or woman, rich or poor, dependent or free, happy or unhappy;;;;;;;;;;;;;;;;;;;
113;When one has once fully entered the realm of love, the world — no matter how imperfect — becomes rich and beautiful, it consists solely of opportunities for love.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
114;دردها; اگر فرد را نشکنند; به او غرور می آموزند.;Søren Kierkegaard,;;;;;;;;;;;;;;;;
115;Faith is the highest passion in a human being. Many in everygeneration may not come that far, but none comes further.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
116;For love is exultant when it unites equals, but it is triumphant when it makes that which was unequal equal in love.;Soren Kierkeggard;;;;;;;;;;;;;;;;;;
117;Since my earliest childhood a barb of sorrow has lodged in my heart. As long as it stays I am ironic — if it is pulled out I shall die.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
118;The stone that was rolled before Christ's tomb might appropriately be called the philosopher's stone because its removal gave not only the pharisees but, now for 1800 years, the philosophers so much to think about.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
119;Don't forget to love yourself.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
120;It happened that a fire broke out backstage in a theater. The clown came out to inform the public. They thought it was a jest and applauded. He repeated his warning. They shouted even louder. So I think the world will come to an end amid the general applause from all the wits who believe that it is a joke.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
121;Whoever has learned to be anxious in the right way has learned the ultimate.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
122;No, I won't leave the world--I'll enter a lunatic asylum and see if the profundity of insanity reveals to me the riddles of life. Idiot, why didn't I do that long ago, why has it taken me so long to understand what it means when the Indians honour the insane, step aside for them? Yes, a lunatic asylum--don't you think I may end up there?;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
123;"وحشتناک ترین جنگ ها زمانی رخ نمی دهد که دو طرف دیدگاه هایی مخالف داشته باشند؛ وحشتناک ترین جنگ ها زمانی رخ می دهد که دو طرف یک چیز می گویند"; ولی تفسیرشان از آن متفاوت است.;Søren Kierkegaard;;;;;;;;;;;;;;;;;
124;And when the hourglass has run out, the hourglass of temporality, when the noise of secular life has grown silent and its restless or ineffectual activism has come to an end, when everything around you is still, as it is in eternity, then eternity asks you and every individual in these millions and millions about only one thing: whether you have lived in despair or not.;Soren Kierkegaar;;;;;;;;;;;;;;;;;;
125;This, then, is the ultimate paradox of thought: to want to discover something that thought itself cannot think.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
126;Only the person who is essentially capable of remaining silent is capable of speaking essentially.;Kierkegaard;;;;;;;;;;;;;;;;;;
127;When you were called, did you answer or did you not? Perhaps softly and in a whisper?;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
128;I stick my finger in existence — it smells of nothing. Where am I? Who am I? How came I here? What is this thing called the world? What does this world mean? Who is it that has lured me into the world? Why was I not consulted, why not made acquainted with its manners and customs instead of throwing me into the ranks, as if I had been bought by a kidnapper, a dealer in souls? How did I obtain an interest in this big enterprise they call reality? Why should I have an interest in it? Is it not a voluntary concern? And if I am to be compelled to take part in it, where is the director? I should like to make a remark to him. Is there no director? Whither shall I turn with my complaint?;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
129;What is a poet? An unhappy man who hides deep anguish in his heart, but whose lips are so formed that when the sigh and cry pass through them, it sounds like lovely music.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
130;I once knew of a girl whose story forms the substance of the diary. Whether he has seduced others I do not know... we learn of his desire for something altogether arbitrary. With the help of his mental gifts he knew how to tempt a girl to draw her to him without caring to possess her in any stricter sense.  I can imagine him able to bring a girl to the point where he was sure she would sacrifice all then he would leave without a word let a lone a declaration a promise.   The unhappy girl would retain the consciousness of it with double bitterness because there was not the slightest thing she could appeal to. She could only be constantly tossed about in a terrible witches' dance at one moment reproaching herself forgiving him at another reproaching him and then since the relationship would only have been actual in a figurative sense she would constantly have to contend with the doubt that the whole thing might only have been an imagination.;Soren Kierkegaard,;;;;;;;;;;;;;;;;;;
131;With respect to love we speak continually about perfection and the perfect person. With respect to love Christianity also speaks continually about perfection and the perfect person. Alas, but we men talk about finding the perfect person in order to love him. Christianity speaks about being the perfect person who limitlessly loves the person he sees.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
132;It's better to get lost in the passion than to lose the passion;Soren Kierkegäard;;;;;;;;;;;;;;;;;;
133;My time I divide as follows: the one half I sleep;;;;;;;;;;;;;;;;;;;
134;You train yourself in the art of being mysterious to everyone. My dear friend! What if there were no one, who cared about guessing your riddle, what pleasure would you then take in it?;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
135;I would rather be a swineherd, understood by the swine, than a poet misunderstood by men.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
136;Life can only be understood going backward, but must be lived going forward.;SOREN KIERKEGAARD;;;;;;;;;;;;;;;;;;
137;Thus our own age is essentially one of understanding, and on the average, perhaps, more knowledgeable than any former generation, but it is without passion. Every one knows a great deal, we all know which way we ought to go and all the different ways we can go, but nobody is willing to move.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
138;The truth is a snare: you cannot have it, without being caught. You cannot have the truth in such a way that you catch it, but only in such a way that it catches you.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
139;...even the richest personality is nothing before he has chosen himself, and on the other hand even what one might call the poorest personality is everything when he has chosen himself;;;;;;;;;;;;;;;;;;;
140;Life has its own hidden forces which you can only discover by living.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
141;شایع ترین نوع نومیدی آن است که فرد نخواهد خودش باشد.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
142;من زمانم را این گونه قسمت کرده ام: نیمش را می خوابم; و در نیمه دیگر رؤیا می بینم. حیف است که آدم در خواب رؤیا ببیند.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;
143;Far from idleness being the root of all evil, it is rather the only true good.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
144;Deep within every human being there still lives the anxiety over the possibility of being alone in the world, forgotten by God, overlooked among the millions and millions in this enormous household. One keeps this anxiety at a distance by looking at the many round about who are related to him as kin and friends, but the anxiety is still there, nevertheless, and one hardly dares think of how he would feel if all this were taken away.;Soren Kieekegaard;;;;;;;;;;;;;;;;;;
145;People settle for a level of despair they can tolerate and call it happiness.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
146;Do you not know that there comes a midnight hour when every one has to throw off his mask? Do you believe that life will always let itself be mocked? Do you think you can slip away a little before midnight to avoid this?;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
147;No one comes back from the dead, no one has entered the world without crying;;;;;;;;;;;;;;;;;;;
148;I begin with the principle that all men are bores. Surely no one will prove himself so great a bore as to contradict me in this.;Søren Aabye Kierkegaard;;;;;;;;;;;;;;;;;;
149;The more one suffers, the more, I believe, has one a sense for the comic. It is only by the deepest suffering that one acquires true authority in the use of the comic, an authority which by one word transforms as by magic the reasonable creature one calls man into a caricature.;Soren Kieregaaard;;;;;;;;;;;;;;;;;;
150;Nothing is as heady as the wine of possibility;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
151;For it is not what happens to me that makes me great, but it is what I do.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
152;A revolutionary age is an age of action;;;;;;;;;;;;;;;;;;;
153;Men think that it is impossible for a human being to love his enemies, for enemies are hardly able to endure the sight of one another. Well, then, shut your eyes--and your enemy looks just like your neighbor.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
154;Purity of Heart Is to Will One Thing;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
155;Only the noble of heart are called to difficulty.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
156;I'm so misunderstood that people misunderstand me even when I tell them I'm misunderstood.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
157;People hardly ever make use of the freedom which they have, for example, freedom of thought;;;;;;;;;;;;;;;;;;;
158;Sleeping is the height of genius;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
159;Silence is the demon's trap, and the more one is silenced, the more terrible the demon;;;;;;;;;;;;;;;;;;;
160;No, not one shall be forgotten who was great in the world. But each was great in his own way, and each in proportion to the greatness of that which he loved.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
161;If I am capable of grasping God objectively, I do not believe, but precisely because I cannot do this I must believe. If I wish to preserve myself in faith I must constantly be intent upon holding fast the objective uncertainty so as to remain out upon the deep, over seventy thousand fathoms of water, still preserving my faith.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
162;What I really lack is to be clear in my mind what I am to do, not what I am to know, except in so far as a certain knowledge must precede every action. The thing is to understand myself, to see what God really wishes me to do: the thing is to find a truth which is true for me, to find the idea for which I can live and die. ... I certainly do not deny that I still recognize an imperative of knowledge and that through it one can work upon men, but it must be taken up into my life, and that is what I now recognize as the most important thing.;Søren Kierkegaard;;;;;;;;;;;;;;;;;;
163;It is modest of the nightingale not to require anyone to listen to it;;;;;;;;;;;;;;;;;;;
164;Then faith's paradox is this: that the single individual is higher than the universal, that the single individual determines his relation to the universal through his relation to God, not his relation to God through his relation through the universal... Unless this is how it is, faith has no place in existence;;;;;;;;;;;;;;;;;;;
165;As I stood alone and forsaken, and the power of the sea and the battle of the elements reminded me of my own nothingness, and on the other hand, the sure flight of the birds recalled the words spoken by Christ: Not a sparrow shall fall on the ground without your Father: then, all at once, I felt how great and how small I was;;;;;;;;;;;;;;;;;;;
166;To grumble about the world and its unhappiness is always easier than to beat one's breast and groan over oneself.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
167;...my soul always reverts to the Old Testament and to Shakespeare. There at least one feels that it's human beings talking. There people hate, people love, people murder their enemy and curse his descendants through all generations, there people sin.;Søren Kierkegaard,;;;;;;;;;;;;;;;;;;
168;Language has time as its element;;;;;;;;;;;;;;;;;;;
169;A man who as a physical being is always turned toward the outside, thinking that his happiness lies outside him, finally turns inward and discovers that the source is within him.;Soren Kierkegaard;;;;;;;;;;;;;;;;;;
170;For I have trained myself and am training myself always to be able to dance lightly in the service of thought;Johannes Climacus S ren Kierkagaard;;;;;;;;;;;;;;;;;;
171;For like a poisonous breath over the fields, like a mass of locusts over Egypt, so the swarm of excuses is a general plaque, a ruinous infection among men, that eats off the sprouts of the Eternal.;Kierkegaard;;;;;;;;;;;;;;;;;;
